
B-V,Vmag,class
0.595,6.76,main_sequence
0.722,8.92,main_sequence
0.622,7.19,main_sequence
0.987,6.68,main_sequence
0.991,7.92,main_sequence
1.15,10.62,main_sequence
0.667,7.53,main_sequence
0.942,10.1,main_sequence
0.808,7.17,main_sequence
0.13,3.86,main_sequence
1.02,8.99,main_sequence
0.854,9.45,main_sequence
0.987,10.0,main_sequence
0.557,7.86,main_sequence
1.086,10.56,main_sequence
1.047,10.06,main_sequence
0.877,9.56,main_sequence
0.547,7.34,main_sequence
0.65,6.91,main_sequence
0.448,6.88,main_sequence
0.919,9.84,main_sequence
0.591,7.7,main_sequence
1.47,10.81,main_sequence
0.6,8.44,main_sequence
0.443,6.2,main_sequence
0.613,7.72,main_sequence
0.964,10.08,main_sequence
0.383,6.35,main_sequence
0.484,7.26,main_sequence
1.078,10.16,main_sequence
0.656,8.15,main_sequence
0.907,9.5,main_sequence
0.56,7.02,main_sequence
1.54,11.43,main_sequence
1.009,10.58,main_sequence
0.446,5.71,main_sequence
0.121,5.56,main_sequence
0.847,6.44,main_sequence
0.398,6.23,main_sequence
0.764,9.1,main_sequence
0.672,8.8,main_sequence
0.771,9.08,main_sequence
0.17,4.34,main_sequence
0.589,7.48,main_sequence
1.092,4.51,giant
0.687,7.74,main_sequence
0.77,7.24,main_sequence
0.685,8.95,main_sequence
0.32,5.21,main_sequence
0.446,8.47,main_sequence
0.546,7.18,main_sequence
0.428,5.7,main_sequence
0.646,8.25,main_sequence
1.022,9.97,main_sequence
0.556,7.88,main_sequence
1.447,11.54,main_sequence
0.405,6.65,main_sequence
0.545,7.0,main_sequence
1.108,10.62,main_sequence
0.661,7.83,main_sequence
1.024,9.5,main_sequence
0.829,7.3,main_sequence
1.003,9.88,main_sequence
0.705,8.53,main_sequence
0.656,8.37,main_sequence
0.403,6.59,main_sequence
0.569,6.85,main_sequence
0.407,5.92,main_sequence
0.684,8.29,main_sequence
0.577,7.12,main_sequence
1.06,10.29,main_sequence
1.365,11.96,main_sequence
0.52,5.98,main_sequence
0.725,8.41,main_sequence
0.453,6.27,main_sequence
0.86,9.14,main_sequence
0.505,6.9,main_sequence
1.0,9.29,main_sequence
0.708,8.4,main_sequence
0.453,7.18,main_sequence
0.556,7.62,main_sequence
0.71,7.93,main_sequence
0.734,8.69,main_sequence
0.63,8.15,main_sequence
0.972,3.93,main_sequence
0.622,7.32,main_sequence
0.679,8.46,main_sequence
0.641,7.78,main_sequence
1.2,11.03,main_sequence
1.072,9.88,main_sequence
0.958,9.98,main_sequence
1.17,10.73,main_sequence
0.634,6.74,main_sequence
0.382,6.03,main_sequence
1.283,10.97,main_sequence
1.336,10.47,main_sequence
0.761,8.83,main_sequence
0.556,7.85,main_sequence
0.712,7.15,main_sequence
0.761,8.83,main_sequence
0.9,6.99,main_sequence
-0.158,0.45,main_sequence
0.81,9.4,main_sequence
0.87,8.71,main_sequence
0.466,7.08,main_sequence
1.151,9.87,main_sequence
0.773,8.53,main_sequence
0.607,7.85,main_sequence
0.695,9.13,main_sequence
1.607,11.6,main_sequence
0.905,8.92,main_sequence
1.408,11.64,main_sequence
0.735,8.09,main_sequence
0.404,6.2,main_sequence
1.16,10.28,main_sequence
0.586,7.53,main_sequence
0.617,7.45,main_sequence
0.714,8.4,main_sequence
0.874,9.13,main_sequence
1.158,10.12,main_sequence
1.035,10.61,main_sequence
0.82,8.51,main_sequence
0.601,7.27,main_sequence
0.685,8.74,main_sequence
1.104,10.13,main_sequence
0.366,6.38,main_sequence
0.637,7.13,main_sequence
0.664,7.93,main_sequence
0.569,7.07,main_sequence
0.78,8.96,main_sequence
0.302,5.92,main_sequence
0.419,5.96,main_sequence
1.343,11.48,main_sequence
0.644,8.61,main_sequence
1.388,11.48,main_sequence
1.095,10.08,main_sequence
1.315,11.48,main_sequence
1.131,10.35,main_sequence
0.988,9.31,main_sequence
0.468,6.77,main_sequence
1.34,12.49,main_sequence
0.94,9.36,main_sequence
0.356,6.07,main_sequence
0.448,6.15,main_sequence
0.92,9.62,main_sequence
1.686,11.62,main_sequence
0.953,9.19,main_sequence
0.651,8.07,main_sequence
0.499,6.87,main_sequence
0.29,4.79,main_sequence
0.66,7.99,main_sequence
0.797,8.93,main_sequence
0.746,8.76,main_sequence
0.576,6.84,main_sequence
1.19,10.16,main_sequence
0.51,7.06,main_sequence
0.024,3.82,main_sequence
0.649,8.18,main_sequence
0.664,6.88,main_sequence
0.644,7.7,main_sequence
-0.002,3.95,main_sequence
1.376,11.86,main_sequence
1.34,11.54,main_sequence
0.722,8.69,main_sequence
0.694,7.3,main_sequence
0.555,7.36,main_sequence
0.386,6.45,main_sequence
0.734,8.8,main_sequence
0.684,8.68,main_sequence
1.0,10.03,main_sequence
0.795,8.95,main_sequence
0.885,8.55,main_sequence
0.544,7.5,main_sequence
1.271,11.22,main_sequence
1.248,10.94,main_sequence
0.88,8.91,main_sequence
0.704,7.63,main_sequence
0.569,5.64,main_sequence
0.418,6.0,main_sequence
1.04,9.7,main_sequence
0.667,7.89,main_sequence
0.546,5.65,main_sequence
0.651,7.0,main_sequence
1.097,10.87,main_sequence
0.406,6.05,main_sequence
0.737,8.07,main_sequence
0.88,9.11,main_sequence
0.52,5.57,main_sequence
0.439,5.79,main_sequence
1.29,11.15,main_sequence
0.534,7.5,main_sequence
0.623,6.91,main_sequence
-0.12,3.56,main_sequence
0.642,7.61,main_sequence
0.574,7.61,main_sequence
0.99,10.03,main_sequence
0.897,9.98,main_sequence
1.494,11.75,main_sequence
0.905,9.43,main_sequence
0.034,4.08,main_sequence
0.644,7.9,main_sequence
1.156,10.67,main_sequence
0.289,5.81,main_sequence
0.566,6.96,main_sequence
0.395,5.36,main_sequence
1.586,11.31,main_sequence
0.741,8.0,main_sequence
0.955,9.79,main_sequence
0.704,8.65,main_sequence
0.399,6.79,main_sequence
0.879,9.1,main_sequence
1.205,10.12,main_sequence
0.089,5.13,main_sequence
1.065,10.13,main_sequence
0.311,5.29,main_sequence
0.697,8.56,main_sequence
0.153,4.46,main_sequence
0.666,8.03,main_sequence
1.357,11.74,main_sequence
0.99,9.78,main_sequence
0.628,7.77,main_sequence
0.666,7.49,main_sequence
0.534,7.57,main_sequence
0.906,9.81,main_sequence
0.985,9.98,main_sequence
1.268,11.03,main_sequence
0.696,8.42,main_sequence
1.075,10.51,main_sequence
0.8,12.33,main_sequence
1.35,11.73,main_sequence
0.51,6.48,main_sequence
0.289,5.3,main_sequence
-0.061,4.12,main_sequence
0.708,8.3,main_sequence
1.027,9.44,main_sequence
0.411,5.21,main_sequence
1.006,4.11,giant
0.924,9.09,main_sequence
0.838,8.59,main_sequence
0.637,8.55,main_sequence
1.46,10.28,main_sequence
0.429,5.98,main_sequence
0.876,6.09,main_sequence
0.879,10.21,main_sequence
0.618,8.28,main_sequence
0.745,8.04,main_sequence
0.588,7.44,main_sequence
0.534,7.07,main_sequence
1.024,10.61,main_sequence
0.634,6.96,main_sequence
0.772,8.39,main_sequence
0.387,6.48,main_sequence
0.385,6.28,main_sequence
0.956,6.94,main_sequence
1.443,12.04,main_sequence
-0.1,3.61,main_sequence
0.584,7.56,main_sequence
1.197,10.48,main_sequence
0.851,8.86,main_sequence
1.034,10.32,main_sequence
0.686,8.17,main_sequence
0.672,8.66,main_sequence
0.717,8.75,main_sequence
0.81,9.03,main_sequence
0.478,5.97,main_sequence
1.062,10.2,main_sequence
1.088,3.89,giant
0.781,8.57,main_sequence
0.577,7.56,main_sequence
0.238,5.44,main_sequence
0.809,9.33,main_sequence
0.128,2.88,main_sequence
0.97,10.59,main_sequence
0.902,8.94,main_sequence
0.677,8.48,main_sequence
0.86,8.45,main_sequence
0.596,6.72,main_sequence
1.042,9.21,main_sequence
1.14,10.78,main_sequence
0.306,6.38,main_sequence
0.495,7.1,main_sequence
0.63,7.69,main_sequence
0.349,5.12,main_sequence
0.193,5.26,main_sequence
0.771,8.39,main_sequence
0.672,7.36,main_sequence
0.642,7.85,main_sequence
0.81,8.48,main_sequence
0.825,9.06,main_sequence
1.01,11.13,main_sequence
0.521,6.9,main_sequence
0.71,8.51,main_sequence
0.561,7.05,main_sequence
0.035,4.85,main_sequence
0.606,7.29,main_sequence
0.44,5.92,main_sequence
0.604,7.56,main_sequence
0.629,7.64,main_sequence
0.732,8.15,main_sequence
1.44,11.9,main_sequence
0.624,8.12,main_sequence
1.173,10.1,main_sequence
0.942,10.26,main_sequence
0.614,7.85,main_sequence
0.936,10.22,main_sequence
0.534,7.48,main_sequence
0.9,9.4,main_sequence
0.567,7.38,main_sequence
0.617,7.78,main_sequence
1.243,10.64,main_sequence
1.341,11.91,main_sequence
0.766,9.22,main_sequence
1.485,12.25,main_sequence
1.037,9.67,main_sequence
0.834,9.67,main_sequence
1.037,9.92,main_sequence
0.542,6.4,main_sequence
1.002,9.86,main_sequence
0.73,8.43,main_sequence
0.051,4.96,main_sequence
1.103,10.7,main_sequence
0.468,5.94,main_sequence
0.701,8.84,main_sequence
0.882,8.83,main_sequence
1.28,10.28,main_sequence
0.94,9.54,main_sequence
0.865,9.71,main_sequence
1.411,11.41,main_sequence
0.619,8.23,main_sequence
0.603,10.29,main_sequence
1.395,11.81,main_sequence
0.739,8.29,main_sequence
0.91,9.54,main_sequence
0.666,7.45,main_sequence
0.534,6.79,main_sequence
0.68,8.08,main_sequence
1.067,10.54,main_sequence
0.503,7.29,main_sequence
0.844,8.88,main_sequence
0.521,7.48,main_sequence
0.455,7.05,main_sequence
0.482,6.2,main_sequence
0.891,6.14,main_sequence
1.2,10.3,main_sequence
0.9,9.43,main_sequence
1.225,10.87,main_sequence
0.784,8.85,main_sequence
1.444,12.45,main_sequence
0.58,7.65,main_sequence
0.592,7.62,main_sequence
0.73,8.86,main_sequence
0.965,9.63,main_sequence
0.81,8.98,main_sequence
0.614,6.73,main_sequence
0.706,8.66,main_sequence
1.09,9.03,main_sequence
0.478,6.81,main_sequence
0.818,8.21,main_sequence
0.543,6.82,main_sequence
0.954,6.96,main_sequence
0.692,8.65,main_sequence
1.1,9.46,main_sequence
0.665,7.93,main_sequence
0.506,6.77,main_sequence
0.461,11.86,main_sequence
0.216,5.59,main_sequence
1.23,10.61,main_sequence
0.583,7.48,main_sequence
0.66,8.62,main_sequence
0.587,7.51,main_sequence
1.13,10.88,main_sequence
0.956,9.82,main_sequence
0.658,7.85,main_sequence
1.34,10.85,main_sequence
0.648,8.5,main_sequence
-0.038,4.3,main_sequence
0.611,8.01,main_sequence
0.817,8.89,main_sequence
0.435,6.47,main_sequence
0.653,7.5,main_sequence
0.782,9.46,main_sequence
1.16,10.17,main_sequence
1.194,11.51,main_sequence
1.125,10.94,main_sequence
0.354,5.97,main_sequence
0.53,7.22,main_sequence
1.46,11.94,main_sequence
0.631,7.97,main_sequence
0.895,8.99,main_sequence
0.323,5.99,main_sequence
0.5,7.06,main_sequence
0.688,7.84,main_sequence
0.425,5.28,main_sequence
0.345,5.62,main_sequence
1.001,5.85,giant
0.934,9.57,main_sequence
1.123,10.4,main_sequence
0.319,5.89,main_sequence
0.867,9.2,main_sequence
0.466,6.91,main_sequence
1.19,10.36,main_sequence
1.095,10.12,main_sequence
0.816,9.53,main_sequence
0.769,8.32,main_sequence
0.324,5.59,main_sequence
0.593,7.85,main_sequence
0.576,6.88,main_sequence
1.18,10.49,main_sequence
0.832,8.49,main_sequence
0.397,6.02,main_sequence
0.943,6.07,main_sequence
1.327,11.28,main_sequence
0.448,6.25,main_sequence
1.12,10.61,main_sequence
0.393,5.84,main_sequence
0.551,7.16,main_sequence
0.741,8.11,main_sequence
0.427,6.61,main_sequence
0.577,6.77,main_sequence
0.693,8.45,main_sequence
0.64,8.05,main_sequence
0.657,8.05,main_sequence
0.514,7.11,main_sequence
1.204,10.69,main_sequence
0.705,10.6,main_sequence
0.764,8.92,main_sequence
0.4,6.31,main_sequence
0.669,8.07,main_sequence
0.797,9.04,main_sequence
0.756,8.32,main_sequence
0.681,7.53,main_sequence
0.98,9.57,main_sequence
0.67,8.36,main_sequence
0.745,8.62,main_sequence
0.721,8.47,main_sequence
0.924,9.81,main_sequence
0.682,8.26,main_sequence
0.981,3.65,main_sequence
0.509,6.85,main_sequence
0.283,5.58,main_sequence
0.56,7.46,main_sequence
0.404,6.11,main_sequence
0.225,5.26,main_sequence
1.003,9.36,main_sequence
0.456,6.15,main_sequence
0.315,5.72,main_sequence
0.518,6.97,main_sequence
0.989,10.04,main_sequence
0.983,3.77,main_sequence
0.627,7.82,main_sequence
0.758,8.84,main_sequence
0.31,5.64,main_sequence
1.231,10.47,main_sequence
0.462,7.18,main_sequence
0.855,9.11,main_sequence
0.701,8.38,main_sequence
1.288,10.89,main_sequence
0.154,4.8,main_sequence
0.604,7.58,main_sequence
0.518,7.13,main_sequence
0.599,7.79,main_sequence
0.456,6.87,main_sequence
0.4,5.77,main_sequence
1.408,11.66,main_sequence
0.378,5.97,main_sequence
0.639,8.41,main_sequence
0.65,7.89,main_sequence
0.136,4.21,main_sequence
0.629,7.79,main_sequence
0.25,5.27,main_sequence
0.049,4.3,main_sequence
1.26,11.06,main_sequence
0.509,6.44,main_sequence
0.2,7.25,main_sequence
0.65,7.86,main_sequence
0.935,8.99,main_sequence
0.68,8.07,main_sequence
0.671,8.59,main_sequence
0.509,7.36,main_sequence
0.87,9.73,main_sequence
0.263,4.28,main_sequence
0.557,7.36,main_sequence
0.262,4.48,main_sequence
0.651,8.04,main_sequence
0.657,8.05,main_sequence
0.664,8.1,main_sequence
1.033,9.45,main_sequence
1.146,10.48,main_sequence
1.0,8.4,main_sequence
0.537,7.41,main_sequence
0.56,7.49,main_sequence
0.894,9.4,main_sequence
0.27,5.72,main_sequence
0.839,9.02,main_sequence
0.952,3.84,main_sequence
1.014,3.53,giant
0.741,8.62,main_sequence
0.179,3.4,main_sequence
1.389,10.92,main_sequence
0.609,7.83,main_sequence
0.215,5.02,main_sequence
0.75,8.21,main_sequence
0.536,6.59,main_sequence
0.526,7.02,main_sequence
0.451,6.9,main_sequence
0.831,8.95,main_sequence
0.865,9.08,main_sequence
0.324,5.58,main_sequence
0.17,4.78,main_sequence
0.263,5.4,main_sequence
0.258,5.47,main_sequence
0.428,6.5,main_sequence
0.472,7.03,main_sequence
0.734,8.59,main_sequence
0.987,9.53,main_sequence
0.338,6.01,main_sequence
0.42,6.37,main_sequence
0.63,7.83,main_sequence
0.47,6.8,main_sequence
1.51,11.03,main_sequence
1.028,5.79,giant
1.237,10.69,main_sequence
1.197,10.74,main_sequence
0.429,6.62,main_sequence
0.255,4.65,main_sequence
0.847,8.48,main_sequence
0.615,7.72,main_sequence
0.631,7.9,main_sequence
0.77,8.91,main_sequence
0.184,4.25,main_sequence
0.865,9.48,main_sequence
0.38,6.01,main_sequence
0.442,6.64,main_sequence
0.597,7.53,main_sequence
0.747,8.34,main_sequence
0.312,5.78,main_sequence
0.122,4.27,main_sequence
0.576,7.51,main_sequence
0.655,7.96,main_sequence
0.141,5.08,main_sequence
0.147,4.67,main_sequence
0.91,8.86,main_sequence
1.073,10.04,main_sequence
1.254,10.81,main_sequence
1.096,9.47,main_sequence
0.621,7.74,main_sequence
0.677,7.12,main_sequence
1.122,9.92,main_sequence
0.544,6.18,main_sequence
1.16,10.29,main_sequence
0.95,9.95,main_sequence
0.498,6.9,main_sequence
0.7,8.77,main_sequence
0.251,5.39,main_sequence
0.541,7.54,main_sequence
0.864,8.09,main_sequence
0.825,9.22,main_sequence
1.277,10.92,main_sequence
0.967,9.6,main_sequence
0.8,10.12,main_sequence
1.174,10.61,main_sequence
0.246,5.29,main_sequence
0.846,6.51,main_sequence
0.537,5.76,main_sequence
0.283,5.96,main_sequence
0.774,8.95,main_sequence
0.833,8.98,main_sequence
0.676,7.88,main_sequence
0.563,7.1,main_sequence
0.614,8.14,main_sequence
0.74,7.73,main_sequence
0.543,6.79,main_sequence
0.86,9.25,main_sequence
0.502,6.3,main_sequence
0.77,8.09,main_sequence
0.74,7.1,main_sequence
1.271,10.08,main_sequence
1.146,10.02,main_sequence
0.351,6.33,main_sequence
0.714,8.6,main_sequence
0.496,7.21,main_sequence
0.516,6.97,main_sequence
0.581,7.94,main_sequence
0.447,5.65,main_sequence
0.037,4.93,main_sequence
0.803,7.29,main_sequence
0.45,6.75,main_sequence
-0.053,6.65,main_sequence
0.293,6.31,main_sequence
1.243,10.84,main_sequence
1.036,10.03,main_sequence
0.56,7.71,main_sequence
1.41,11.98,main_sequence
0.74,7.99,main_sequence
0.155,4.62,main_sequence
0.741,8.6,main_sequence
0.618,7.2,main_sequence
0.787,9.27,main_sequence
0.991,9.71,main_sequence
1.04,10.02,main_sequence
1.0,7.87,main_sequence
0.573,6.8,main_sequence
0.785,8.61,main_sequence
0.464,7.41,main_sequence
0.681,8.49,main_sequence
0.505,6.97,main_sequence
0.452,5.67,main_sequence
0.984,6.24,main_sequence
0.718,7.61,main_sequence
0.853,9.62,main_sequence
0.925,9.52,main_sequence
1.23,10.55,main_sequence
0.637,7.82,main_sequence
0.189,4.82,main_sequence
1.06,10.33,main_sequence
0.401,6.15,main_sequence
1.09,10.5,main_sequence
0.66,8.28,main_sequence
0.475,7.47,main_sequence
0.672,10.4,main_sequence
0.458,6.96,main_sequence
0.932,5.48,main_sequence
0.661,7.31,main_sequence
1.2,10.8,main_sequence
0.51,7.39,main_sequence
0.794,9.15,main_sequence
0.706,9.15,main_sequence
0.78,8.15,main_sequence
0.538,7.29,main_sequence
0.714,7.32,main_sequence
1.026,9.16,main_sequence
0.441,5.78,main_sequence
0.7,8.35,main_sequence
-0.13,1.65,main_sequence
0.879,9.18,main_sequence
0.92,9.58,main_sequence
1.203,10.12,main_sequence
0.807,2.81,main_sequence
0.657,8.27,main_sequence
0.702,8.32,main_sequence
0.615,5.46,main_sequence
0.653,8.3,main_sequence
0.561,6.95,main_sequence
0.583,8.18,main_sequence
0.62,7.54,main_sequence
0.587,6.44,main_sequence
0.9,8.81,main_sequence
0.99,8.83,main_sequence
0.502,6.74,main_sequence
0.496,7.12,main_sequence
0.569,7.09,main_sequence
0.322,6.15,main_sequence
0.578,7.64,main_sequence
0.486,5.28,main_sequence
0.139,4.77,main_sequence
1.111,10.25,main_sequence
0.294,5.99,main_sequence
0.647,8.91,main_sequence
0.827,8.67,main_sequence
0.417,7.7,main_sequence
0.909,9.64,main_sequence
0.891,9.27,main_sequence
0.7,8.76,main_sequence
0.531,7.1,main_sequence
0.217,4.34,main_sequence
1.085,10.76,main_sequence
0.849,9.28,main_sequence
0.637,6.85,main_sequence
0.773,5.95,main_sequence
0.71,8.8,main_sequence
0.566,7.8,main_sequence
0.857,8.89,main_sequence
0.721,8.46,main_sequence
0.864,9.86,main_sequence
1.4,10.39,main_sequence
0.696,8.59,main_sequence
0.629,7.65,main_sequence
0.722,9.48,main_sequence
0.965,9.28,main_sequence
1.01,3.72,giant
0.887,8.65,main_sequence
0.93,9.41,main_sequence
0.817,9.25,main_sequence
0.913,9.69,main_sequence
0.17,4.12,main_sequence
0.456,6.23,main_sequence
0.835,4.16,main_sequence
0.508,6.72,main_sequence
0.595,7.84,main_sequence
0.888,9.42,main_sequence
0.9,9.1,main_sequence
0.463,6.83,main_sequence
0.626,8.02,main_sequence
0.467,6.95,main_sequence
0.79,8.44,main_sequence
0.67,8.48,main_sequence
0.995,8.8,main_sequence
0.54,8.6,main_sequence
0.99,10.37,main_sequence
0.835,8.7,main_sequence
0.44,6.86,main_sequence
0.769,9.18,main_sequence
0.79,9.05,main_sequence
0.451,6.68,main_sequence
0.78,8.41,main_sequence
0.587,7.95,main_sequence
0.861,9.13,main_sequence
0.032,4.44,main_sequence
0.914,9.09,main_sequence
0.619,7.73,main_sequence
0.686,7.63,main_sequence
0.793,8.98,main_sequence
0.629,7.59,main_sequence
0.508,7.03,main_sequence
0.716,8.81,main_sequence
0.394,6.48,main_sequence
0.708,8.41,main_sequence
0.84,8.36,main_sequence
0.74,7.89,main_sequence
0.554,6.57,main_sequence
0.621,7.61,main_sequence
0.971,9.97,main_sequence
-0.039,9.1,main_sequence
0.256,5.6,main_sequence
1.18,11.49,main_sequence
0.799,8.97,main_sequence
0.929,9.54,main_sequence
1.3,10.17,main_sequence
0.687,8.14,main_sequence
0.486,6.36,main_sequence
0.7,7.79,main_sequence
0.879,9.42,main_sequence
0.747,9.55,main_sequence
0.769,8.44,main_sequence
1.086,10.35,main_sequence
0.672,7.6,main_sequence
0.063,5.2,main_sequence
0.321,6.26,main_sequence
0.685,8.53,main_sequence
1.348,11.61,main_sequence
0.562,7.2,main_sequence
0.614,7.47,main_sequence
0.292,5.75,main_sequence
0.553,7.02,main_sequence
0.677,8.07,main_sequence
0.546,7.3,main_sequence
0.657,8.96,main_sequence
0.729,8.1,main_sequence
0.977,9.61,main_sequence
1.088,9.75,main_sequence
0.614,7.21,main_sequence
1.259,10.58,main_sequence
0.408,9.09,main_sequence
1.5,12.35,main_sequence
0.465,6.23,main_sequence
0.558,7.62,main_sequence
0.52,6.2,main_sequence
1.054,10.01,main_sequence
0.533,7.78,main_sequence
0.534,7.66,main_sequence
0.627,8.31,main_sequence
1.186,10.51,main_sequence
1.023,9.58,main_sequence
0.806,9.08,main_sequence
1.161,10.54,main_sequence
0.702,8.25,main_sequence
0.56,7.8,main_sequence
0.53,7.7,main_sequence
0.436,5.68,main_sequence
1.006,3.78,giant
0.631,8.0,main_sequence
0.559,7.77,main_sequence
0.88,6.43,main_sequence
0.419,6.23,main_sequence
1.17,10.2,main_sequence
0.573,8.01,main_sequence
0.431,7.16,main_sequence
0.273,6.1,main_sequence
0.737,7.33,main_sequence
0.502,6.46,main_sequence
0.94,11.49,main_sequence
0.744,8.5,main_sequence
0.609,7.34,main_sequence
0.565,6.72,main_sequence
0.556,7.52,main_sequence
0.519,7.17,main_sequence
0.346,5.7,main_sequence
1.14,10.11,main_sequence
0.774,8.73,main_sequence
0.897,9.37,main_sequence
0.455,6.78,main_sequence
0.902,5.04,main_sequence
0.969,9.46,main_sequence
0.951,10.31,main_sequence
0.71,6.58,main_sequence
0.888,9.48,main_sequence
0.814,9.16,main_sequence
0.944,9.65,main_sequence
0.603,7.69,main_sequence
0.62,6.88,main_sequence
0.845,8.64,main_sequence
0.894,8.96,main_sequence
0.848,10.53,main_sequence
0.76,8.8,main_sequence
0.599,7.93,main_sequence
0.775,8.15,main_sequence
0.77,9.26,main_sequence
0.12,5.07,main_sequence
0.604,7.07,main_sequence
0.505,7.16,main_sequence
0.538,8.48,main_sequence
0.586,7.95,main_sequence
0.465,7.11,main_sequence
0.722,8.78,main_sequence
0.321,5.59,main_sequence
0.671,8.32,main_sequence
0.488,6.71,main_sequence
0.853,8.79,main_sequence
0.354,6.97,main_sequence
0.602,5.89,main_sequence
0.966,9.64,main_sequence
0.337,6.37,main_sequence
1.596,10.84,main_sequence
0.413,4.89,main_sequence
1.277,10.92,main_sequence
0.473,6.89,main_sequence
1.14,9.95,main_sequence
1.022,3.94,giant
1.033,3.93,giant
1.252,11.06,main_sequence
1.061,10.25,main_sequence
0.32,5.8,main_sequence
0.612,7.72,main_sequence
0.9,8.79,main_sequence
0.932,3.57,main_sequence
0.793,8.39,main_sequence
0.576,7.08,main_sequence
1.15,10.02,main_sequence
0.489,7.14,main_sequence
0.546,7.93,main_sequence
0.488,7.09,main_sequence
0.601,7.88,main_sequence
1.686,10.93,main_sequence
0.815,9.26,main_sequence
0.726,8.58,main_sequence
0.412,5.76,main_sequence
0.838,9.36,main_sequence
0.671,8.37,main_sequence
0.63,8.0,main_sequence
0.421,5.78,main_sequence
0.721,8.06,main_sequence
0.709,7.61,main_sequence
0.728,8.68,main_sequence
0.672,8.73,main_sequence
0.571,6.74,main_sequence
1.639,11.28,main_sequence
1.017,10.9,main_sequence
0.727,8.43,main_sequence
0.548,7.3,main_sequence
1.211,9.7,main_sequence
0.541,7.27,main_sequence
0.621,8.18,main_sequence
1.616,10.73,main_sequence
0.98,8.86,main_sequence
0.555,7.62,main_sequence
0.538,6.65,main_sequence
0.825,5.73,main_sequence
0.862,8.83,main_sequence
1.38,11.29,main_sequence
0.593,6.61,main_sequence
0.619,8.19,main_sequence
0.82,9.39,main_sequence
